ATC Code,ATC Name,URL
A,ALIMENTARY TRACT AND METABOLISM,https://atcddd.fhi.no//atc_ddd_index/?code=A&showdescription=no
B,BLOOD AND BLOOD FORMING ORGANS,https://atcddd.fhi.no//atc_ddd_index/?code=B&showdescription=no
C,CARDIOVASCULAR SYSTEM,https://atcddd.fhi.no//atc_ddd_index/?code=C&showdescription=no
D,DERMATOLOGICALS,https://atcddd.fhi.no//atc_ddd_index/?code=D&showdescription=no
G,GENITO URINARY SYSTEM AND SEX HORMONES,https://atcddd.fhi.no//atc_ddd_index/?code=G&showdescription=no
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",https://atcddd.fhi.no//atc_ddd_index/?code=H&showdescription=no
J,ANTIINFECTIVES FOR SYSTEMIC USE,https://atcddd.fhi.no//atc_ddd_index/?code=J&showdescription=no
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,https://atcddd.fhi.no//atc_ddd_index/?code=L&showdescription=no
M,MUSCULO-SKELETAL SYSTEM,https://atcddd.fhi.no//atc_ddd_index/?code=M&showdescription=no
N,NERVOUS SYSTEM,https://atcddd.fhi.no//atc_ddd_index/?code=N&showdescription=no
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",https://atcddd.fhi.no//atc_ddd_index/?code=P&showdescription=no
R,RESPIRATORY SYSTEM,https://atcddd.fhi.no//atc_ddd_index/?code=R&showdescription=no
S,SENSORY ORGANS,https://atcddd.fhi.no//atc_ddd_index/?code=S&showdescription=no
V,VARIOUS,https://atcddd.fhi.no//atc_ddd_index/?code=V&showdescription=no
A01,STOMATOLOGICAL PREPARATIONS,https://atcddd.fhi.no//atc_ddd_index/?code=A01&showdescription=no
A02,DRUGS FOR ACID RELATED DISORDERS,https://atcddd.fhi.no//atc_ddd_index/?code=A02&showdescription=no
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,https://atcddd.fhi.no//atc_ddd_index/?code=A03&showdescription=no
A04,ANTIEMETICS AND ANTINAUSEANTS,https://atcddd.fhi.no//atc_ddd_index/?code=A04&showdescription=no
A05,BILE AND LIVER THERAPY,https://atcddd.fhi.no//atc_ddd_index/?code=A05&showdescription=no
A06,DRUGS FOR CONSTIPATION,https://atcddd.fhi.no//atc_ddd_index/?code=A06&showdescription=no
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",https://atcddd.fhi.no//atc_ddd_index/?code=A07&showdescription=no
A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",https://atcddd.fhi.no//atc_ddd_index/?code=A08&showdescription=no
A09,"DIGESTIVES, INCL. ENZYMES",https://atcddd.fhi.no//atc_ddd_index/?code=A09&showdescription=no
A10,DRUGS USED IN DIABETES,https://atcddd.fhi.no//atc_ddd_index/?code=A10&showdescription=no
A11,VITAMINS,https://atcddd.fhi.no//atc_ddd_index/?code=A11&showdescription=no
A12,MINERAL SUPPLEMENTS,https://atcddd.fhi.no//atc_ddd_index/?code=A12&showdescription=no
A13,TONICS,https://atcddd.fhi.no//atc_ddd_index/?code=A13&showdescription=no
A14,ANABOLIC AGENTS FOR SYSTEMIC USE,https://atcddd.fhi.no//atc_ddd_index/?code=A14&showdescription=no
A15,APPETITE STIMULANTS,https://atcddd.fhi.no//atc_ddd_index/?code=A15&showdescription=no
A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,https://atcddd.fhi.no//atc_ddd_index/?code=A16&showdescription=no
A01A,STOMATOLOGICAL PREPARATIONS,https://atcddd.fhi.no//atc_ddd_index/?code=A01A&showdescription=no
A01AA,Caries prophylactic agents,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA&showdescription=no
A01AB,Antiinfectives and antiseptics for local oral treatment,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB&showdescription=no
A01AC,Corticosteroids for local oral treatment,https://atcddd.fhi.no//atc_ddd_index/?code=A01AC&showdescription=no
A01AD,Other agents for local oral treatment,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD&showdescription=no
A01AA01,sodium fluoride,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA01&showdescription=yes
A01AA02,sodium monofluorophosphate,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA02&showdescription=yes
A01AA03,olaflur,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA03&showdescription=yes
A01AA04,stannous fluoride,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA04&showdescription=yes
A01AA30,combinations,https://atcddd.fhi.no//atc_ddd_index/?code=A01AA30&showdescription=yes
A01AA51,"sodium fluoride, combinations",https://atcddd.fhi.no//atc_ddd_index/?code=A01AA51&showdescription=yes
A01AB02,hydrogen peroxide,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB02&showdescription=yes
A01AB03,chlorhexidine,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB03&showdescription=yes
A01AB04,amphotericin B,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB04&showdescription=yes
A01AB05,polynoxylin,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB05&showdescription=yes
A01AB06,domiphen,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB06&showdescription=yes
A01AB07,oxyquinoline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB07&showdescription=yes
A01AB08,neomycin,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB08&showdescription=yes
A01AB09,miconazole,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB09&showdescription=yes
A01AB10,natamycin,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB10&showdescription=yes
A01AB11,various,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB11&showdescription=yes
A01AB12,hexetidine,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB12&showdescription=yes
A01AB13,tetracycline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB13&showdescription=yes
A01AB14,benzoxonium chloride,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB14&showdescription=yes
A01AB15,tibezonium iodide,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB15&showdescription=yes
A01AB16,mepartricin,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB16&showdescription=yes
A01AB17,metronidazole,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB17&showdescription=yes
A01AB18,clotrimazole,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB18&showdescription=yes
A01AB19,sodium perborate,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB19&showdescription=yes
A01AB21,chlortetracycline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB21&showdescription=yes
A01AB22,doxycycline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB22&showdescription=yes
A01AB23,minocycline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB23&showdescription=yes
A01AB24,octenidine,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB24&showdescription=yes
A01AB25,oxytetracycline,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB25&showdescription=yes
A01AB53,chlorhexidine and cetylpyridinium,https://atcddd.fhi.no//atc_ddd_index/?code=A01AB53&showdescription=yes
A01AC01,triamcinolone,https://atcddd.fhi.no//atc_ddd_index/?code=A01AC01&showdescription=yes
A01AC02,dexamethasone,https://atcddd.fhi.no//atc_ddd_index/?code=A01AC02&showdescription=yes
A01AC03,hydrocortisone,https://atcddd.fhi.no//atc_ddd_index/?code=A01AC03&showdescription=yes
A01AC04,prednisolone,https://atcddd.fhi.no//atc_ddd_index/?code=A01AC04&showdescription=yes
A01AC54,"prednisolone, combinations",https://atcddd.fhi.no//atc_ddd_index/?code=A01AC54&showdescription=yes
A01AD01,epinephrine,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD01&showdescription=yes
A01AD02,benzydamine,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD02&showdescription=yes
A01AD05,acetylsalicylic acid,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD05&showdescription=yes
A01AD06,adrenalone,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD06&showdescription=yes
A01AD07,amlexanox,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD07&showdescription=yes
A01AD08,becaplermin,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD08&showdescription=yes
A01AD11,various,https://atcddd.fhi.no//atc_ddd_index/?code=A01AD11&showdescription=yes
A02A,ANTACIDS,https://atcddd.fhi.no//atc_ddd_index/?code=A02A&showdescription=no
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),https://atcddd.fhi.no//atc_ddd_index/?code=A02B&showdescription=no
A02X,OTHER DRUGS FOR ACID RELATED DISORDERS,https://atcddd.fhi.no//atc_ddd_index/?code=A02X&showdescription=no
A02AA,Magnesium compounds,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA&showdescription=no
A02AB,Aluminium compounds,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB&showdescription=no
A02AC,Calcium compounds,https://atcddd.fhi.no//atc_ddd_index/?code=A02AC&showdescription=no
A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds",https://atcddd.fhi.no//atc_ddd_index/?code=A02AD&showdescription=no
A02AF,Antacids with antiflatulents,https://atcddd.fhi.no//atc_ddd_index/?code=A02AF&showdescription=no
A02AG,Antacids with antispasmodics,https://atcddd.fhi.no//atc_ddd_index/?code=A02AG&showdescription=no
A02AH,Antacids with sodium bicarbonate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AH&showdescription=no
A02AX,"Antacids, other combinations",https://atcddd.fhi.no//atc_ddd_index/?code=A02AX&showdescription=no
A02AA01,magnesium carbonate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA01&showdescription=yes
A02AA02,magnesium oxide,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA02&showdescription=yes
A02AA03,magnesium peroxide,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA03&showdescription=yes
A02AA04,magnesium hydroxide,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA04&showdescription=yes
A02AA05,magnesium silicate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA05&showdescription=yes
A02AA10,combinations,https://atcddd.fhi.no//atc_ddd_index/?code=A02AA10&showdescription=yes
A02AB01,aluminium hydroxide,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB01&showdescription=yes
A02AB02,algeldrate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB02&showdescription=yes
A02AB03,aluminium phosphate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB03&showdescription=yes
A02AB04,dihydroxialumini sodium carbonate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB04&showdescription=yes
A02AB05,aluminium acetoacetate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB05&showdescription=yes
A02AB06,aloglutamol,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB06&showdescription=yes
A02AB07,aluminium glycinate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB07&showdescription=yes
A02AB10,combinations,https://atcddd.fhi.no//atc_ddd_index/?code=A02AB10&showdescription=yes
A02AC01,calcium carbonate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AC01&showdescription=yes
A02AC02,calcium silicate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AC02&showdescription=yes
A02AC10,combinations,https://atcddd.fhi.no//atc_ddd_index/?code=A02AC10&showdescription=yes
A02AD01,ordinary salt combinations,https://atcddd.fhi.no//atc_ddd_index/?code=A02AD01&showdescription=yes
A02AD02,magaldrate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AD02&showdescription=yes
A02AD03,almagate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AD03&showdescription=yes
A02AD04,hydrotalcite,https://atcddd.fhi.no//atc_ddd_index/?code=A02AD04&showdescription=yes
A02AD05,almasilate,https://atcddd.fhi.no//atc_ddd_index/?code=A02AD05&showdescription=yes
A02AF01,magaldrate and antiflatulents,https://atcddd.fhi.no//atc_ddd_index/?code=A02AF01&showdescription=yes
A02AF02,ordinary salt combinations and antiflatulents,https://atcddd.fhi.no//atc_ddd_index/?code=A02AF02&showdescription=yes
A02BA,H2-receptor antagonists,https://atcddd.fhi.no//atc_ddd_index/?code=A02BA&showdescription=no
A02BB,Prostaglandins,https://atcddd.fhi.no//atc_ddd_index/?code=A02BB&showdescription=no
A02BC,Proton pump inhibitors,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC&showdescription=no
A02BD,Combinations for eradication of Helicobacter pylori,https://atcddd.fhi.no//atc_ddd_index/?code=A02BD&showdescription=no
A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD),https://atcddd.fhi.no//atc_ddd_index/?code=A02BX&showdescription=no
A02BB01,misoprostol,https://atcddd.fhi.no//atc_ddd_index/?code=A02BB01&showdescription=yes
A02BB02,enprostil,https://atcddd.fhi.no//atc_ddd_index/?code=A02BB02&showdescription=yes
A02BC01,omeprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC01&showdescription=yes
A02BC02,pantoprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC02&showdescription=yes
A02BC03,lansoprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC03&showdescription=yes
A02BC04,rabeprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC04&showdescription=yes
A02BC05,esomeprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC05&showdescription=yes
A02BC06,dexlansoprazole,https://atcddd.fhi.no//atc_ddd_index/?code=A02BC06&showdescription=yes
